"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://carnahanlandscaping.com/blog/the-best-styles-for-outdoor-kitchens/,90,100,100,96,0.5 s,2.1 s,0,370 ms,1.0 s,2.1 s,363,97,100,100,100,0.5 s,0.8 s,0.008,370 ms,1.0 s,2.1 s,363,04/27/2024
https://carnahanlandscaping.com/blog/4-cost-effective-pool-building-tips/,99,100,100,96,0.6 s,2.1 s,0,70 ms,0.9 s,1.6 s,331,95,100,100,100,0.6 s,0.8 s,0.008,70 ms,0.9 s,1.6 s,331,04/27/2024
https://carnahanlandscaping.com/blog/5-ideas-for-your-outdoor-kitchen-in-houston/,99,100,100,96,0.6 s,2.1 s,0,60 ms,0.9 s,1.6 s,343,91,100,100,100,0.5 s,0.8 s,0.008,60 ms,0.9 s,1.6 s,343,04/27/2024
https://carnahanlandscaping.com/blog/drought-tolerant-landscaping-10-key-tips/,98,100,100,96,0.7 s,2.1 s,0,70 ms,0.9 s,1.7 s,374,96,100,100,100,0.6 s,0.8 s,0.008,70 ms,0.9 s,1.7 s,374,04/27/2024
https://carnahanlandscaping.com/blog/why-you-should-consider-building-a-pergola-in-houston/,99,100,100,96,0.7 s,2.1 s,0,50 ms,2.2 s,1.5 s,333,88,100,100,100,0.5 s,0.8 s,0.008,50 ms,2.2 s,1.5 s,333,04/27/2024
https://carnahanlandscaping.com/blog/building-a-covered-patio-in-houston-consider-this/,96,100,100,96,0.7 s,2.1 s,0,180 ms,1.0 s,0.9 s,351,89,100,100,100,0.5 s,0.8 s,0.008,180 ms,1.0 s,0.9 s,351,04/27/2024
https://carnahanlandscaping.com/blog/the-3-most-popular-uses-for-pergolas/,95,100,100,97,0.7 s,2.1 s,0,210 ms,1.1 s,0.9 s,328,94,100,100,100,0.5 s,0.8 s,0.008,210 ms,1.1 s,0.9 s,328,04/27/2024
https://carnahanlandscaping.com/blog/ask-your-pool-builder-in-houston-these-questions-before-you-start/,99,100,100,96,0.5 s,2.1 s,0,90 ms,0.8 s,0.6 s,388,97,100,100,100,0.5 s,0.8 s,0.008,90 ms,0.8 s,0.6 s,388,04/27/2024
https://carnahanlandscaping.com/blog/why-you-should-have-an-outdoor-fireplace-installed/,98,100,100,97,0.7 s,2.1 s,0,140 ms,1.0 s,1.2 s,332,94,100,100,100,0.5 s,0.8 s,0.008,140 ms,1.0 s,1.2 s,332,04/27/2024
https://carnahanlandscaping.com/,100,100,100,100,0.6 s,0.7 s,0,0 ms,0.7 s,0.8 s,505,100,100,100,100,0.5 s,0.5 s,0.008,0 ms,0.7 s,0.8 s,505,04/27/2024
https://carnahanlandscaping.com/web-stories/,98,100,100,100,0.7 s,2.1 s,0,80 ms,0.9 s,1.0 s,364,99,100,100,100,0.5 s,0.8 s,0.008,80 ms,0.9 s,1.0 s,364,04/27/2024
