"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://carnahanlandscaping.com/the-best-styles-for-outdoor-kitchens/,97,100,92,97,0.7 s,2.7 s,0,60 ms,1.0 s,1.1 s,83,100,92,100,0.5 s,3.1 s,0.016,60 ms,1.0 s,1.1 s,06/10/2023
https://carnahanlandscaping.com/ask-your-pool-builder-in-houston-these-questions-before-you-start/,98,100,92,97,0.5 s,2.5 s,0,0 ms,0.7 s,1.0 s,82,100,92,100,0.5 s,3.2 s,0.016,0 ms,0.7 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/the-3-most-popular-uses-for-pergolas/,100,100,92,97,0.9 s,1.7 s,0.019,50 ms,1.3 s,1.4 s,84,100,92,100,0.5 s,2.9 s,0.016,50 ms,1.3 s,1.4 s,06/10/2023
https://carnahanlandscaping.com/why-you-should-have-an-outdoor-fireplace-installed/,98,100,92,97,0.5 s,2.4 s,0,10 ms,0.6 s,1.0 s,82,100,92,100,0.5 s,3.0 s,0.016,10 ms,0.6 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/building-a-covered-patio-in-houston-consider-this/,98,100,92,97,0.5 s,2.4 s,0,20 ms,0.8 s,1.0 s,87,100,92,100,0.5 s,2.5 s,0.016,20 ms,0.8 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/why-you-should-consider-building-a-pergola-in-houston/,97,100,92,97,0.5 s,2.5 s,0,0 ms,0.6 s,1.1 s,81,100,92,100,0.7 s,2.7 s,0.016,0 ms,0.6 s,1.1 s,06/10/2023
https://carnahanlandscaping.com/4-cost-effective-pool-building-tips/,97,100,92,97,0.5 s,2.5 s,0.017,20 ms,0.8 s,1.1 s,86,100,92,100,0.6 s,2.6 s,0.016,20 ms,0.8 s,1.1 s,06/10/2023
https://carnahanlandscaping.com/blog/5-ideas-for-your-outdoor-kitchen-in-houston/,98,100,92,97,0.5 s,2.5 s,0.017,0 ms,0.6 s,1.0 s,87,100,92,100,0.5 s,2.5 s,0.016,0 ms,0.6 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/blog/drought-tolerant-landscaping-10-key-tips/,95,100,92,97,0.5 s,2.9 s,0,10 ms,0.8 s,0.7 s,85,100,92,100,0.5 s,2.5 s,0.016,10 ms,0.8 s,0.7 s,06/10/2023
https://carnahanlandscaping.com/,100,100,100,100,0.5 s,1.3 s,0,30 ms,0.6 s,0.6 s,92,100,100,100,0.7 s,1.8 s,0.016,30 ms,0.6 s,0.6 s,06/10/2023
https://carnahanlandscaping.com/landscape/,98,100,92,100,0.5 s,2.5 s,0,10 ms,0.7 s,1.1 s,86,100,92,100,0.6 s,2.5 s,0.016,10 ms,0.7 s,1.1 s,06/10/2023
https://carnahanlandscaping.com/location/the-woodlands/,98,100,92,100,0.4 s,0.9 s,0,140 ms,2.1 s,1.2 s,94,100,92,100,0.6 s,1.0 s,0,140 ms,2.1 s,1.2 s,06/10/2023
https://carnahanlandscaping.com/location/tomball/,100,100,92,100,0.4 s,0.9 s,0,70 ms,2.1 s,1.0 s,84,100,92,100,0.6 s,1.0 s,0,70 ms,2.1 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/location/spring-texas/,97,100,92,100,0.6 s,2.6 s,0,0 ms,0.6 s,1.2 s,80,100,92,100,0.6 s,3.3 s,0.016,0 ms,0.6 s,1.2 s,06/10/2023
https://carnahanlandscaping.com/location/magnolia/,100,100,92,100,0.4 s,0.9 s,0,70 ms,2.1 s,1.2 s,89,100,92,100,0.4 s,0.8 s,0.016,70 ms,2.1 s,1.2 s,06/10/2023
https://carnahanlandscaping.com/location/katy/,100,100,92,100,0.4 s,0.8 s,0,80 ms,2.1 s,1.3 s,87,100,92,100,0.6 s,0.9 s,0.014,80 ms,2.1 s,1.3 s,06/10/2023
https://carnahanlandscaping.com/location/cypress/,98,100,92,100,0.4 s,0.9 s,0,140 ms,2.0 s,1.0 s,84,100,92,100,0.5 s,0.8 s,0.016,140 ms,2.0 s,1.0 s,06/10/2023
https://carnahanlandscaping.com/new-pools/,99,100,92,100,0.5 s,1.9 s,0,90 ms,0.9 s,0.8 s,83,100,92,100,0.5 s,2.9 s,0.016,90 ms,0.9 s,0.8 s,06/10/2023
https://carnahanlandscaping.com/outdoor-living/pergolas-cabanas/,98,100,92,100,0.5 s,2.4 s,0,20 ms,0.7 s,0.7 s,87,100,92,100,0.6 s,2.4 s,0.016,20 ms,0.7 s,0.7 s,06/10/2023
https://carnahanlandscaping.com/outdoor-living/patios-walkways/,98,100,92,100,0.5 s,2.4 s,0,40 ms,0.9 s,1.1 s,88,100,92,100,0.5 s,2.4 s,0.016,40 ms,0.9 s,1.1 s,06/10/2023
https://carnahanlandscaping.com/pool-maintenance/,98,100,92,100,0.5 s,2.5 s,0,10 ms,0.7 s,0.9 s,87,100,92,100,0.6 s,2.4 s,0.016,10 ms,0.7 s,0.9 s,06/10/2023
https://carnahanlandscaping.com/our-projects/,98,100,92,100,0.5 s,2.5 s,0,0 ms,0.6 s,0.5 s,87,100,92,100,0.5 s,2.4 s,0.016,0 ms,0.6 s,0.5 s,06/10/2023
https://carnahanlandscaping.com/get-10-steps-report/,98,100,92,100,0.5 s,2.5 s,0,40 ms,0.9 s,0.7 s,87,100,92,100,0.5 s,2.4 s,0.016,40 ms,0.9 s,0.7 s,06/10/2023
https://carnahanlandscaping.com/blog/,99,100,92,86,0.5 s,2.0 s,0.076,50 ms,0.9 s,1.2 s,85,100,92,83,0.7 s,2.6 s,0.016,50 ms,0.9 s,1.2 s,06/10/2023
