"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://landscapewaco.com/landscaping-blog/,99,100,100,93,0.6 s,0.9 s,0.023,130 ms,1.0 s,1.4 s,86,100,100,92,0.6 s,0.9 s,0.006,130 ms,1.0 s,1.4 s,08/21/2023
https://landscapewaco.com/blog/preparing-your-sprinkler-system-for-winter-and-landscaping-tips/,88,100,100,93,0.7 s,0.9 s,0,450 ms,1.2 s,2.3 s,81,100,100,92,1.9 s,1.9 s,0,450 ms,1.2 s,2.3 s,08/21/2023
https://landscapewaco.com/blog/what-you-can-expect-when-hiring-landscape-design-services/,96,100,100,93,0.6 s,0.8 s,0,240 ms,1.0 s,2.2 s,77,100,100,92,0.7 s,0.7 s,0,240 ms,1.0 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/video-5/,93,100,100,93,0.8 s,1.1 s,0,320 ms,1.4 s,2.5 s,96,100,100,92,0.8 s,0.9 s,0,320 ms,1.4 s,2.5 s,08/21/2023
https://landscapewaco.com/blog/tree-lift-project-phase-2-of-4/,98,100,100,93,0.6 s,0.8 s,0,150 ms,0.8 s,1.8 s,96,100,100,92,0.6 s,1.1 s,0,150 ms,0.8 s,1.8 s,08/21/2023
https://landscapewaco.com/blog/video-4/,98,96,100,93,0.7 s,0.9 s,0.001,170 ms,1.2 s,2.0 s,95,96,100,92,0.6 s,0.7 s,0,170 ms,1.2 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/what-i-like-to-call-a-mini-zen-garden/,99,100,100,93,0.7 s,0.9 s,0,110 ms,1.0 s,2.0 s,76,100,100,92,1.0 s,1.3 s,0,110 ms,1.0 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/picture-perfect-landscape-installation/,100,96,100,93,0.6 s,0.9 s,0,50 ms,0.8 s,1.9 s,95,96,100,92,0.8 s,0.9 s,0,50 ms,0.8 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/phase-4-down-in-to-place/,90,100,95,93,0.6 s,0.9 s,0,420 ms,1.2 s,2.2 s,89,100,95,92,0.9 s,0.9 s,0,420 ms,1.2 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/before-and-after-about-one-day-start-to-finish/,95,100,100,93,0.8 s,1.1 s,0,250 ms,1.2 s,1.6 s,92,100,100,92,1.1 s,1.2 s,0.005,250 ms,1.2 s,1.6 s,08/21/2023
https://landscapewaco.com/blog/area-has-very-thin-soil-and-home-owner-wanted-less-lawn-to-care-for/,99,100,100,93,0.7 s,0.9 s,0,120 ms,1.1 s,2.1 s,88,100,100,92,0.7 s,0.9 s,0,120 ms,1.1 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/install-irrigation-new-turf-pathways-fountain-and-landscape/,95,100,100,93,0.7 s,0.8 s,0.001,270 ms,1.3 s,2.0 s,94,100,100,92,0.6 s,0.7 s,0,270 ms,1.3 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/newly-constructed-swimming-pool/,100,100,100,93,0.7 s,0.9 s,0,70 ms,1.0 s,2.3 s,96,100,100,92,0.8 s,0.9 s,0.001,70 ms,1.0 s,2.3 s,08/21/2023
https://landscapewaco.com/blog/quarry-block-retaining-wall/,100,100,100,93,0.7 s,0.9 s,0,70 ms,1.0 s,2.1 s,88,100,100,92,0.8 s,0.9 s,0,70 ms,1.0 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/spring-is-in-full-bloom-254-716-7532/,100,100,100,93,0.8 s,0.9 s,0,80 ms,1.1 s,2.1 s,98,100,100,92,0.6 s,0.7 s,0,80 ms,1.1 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/client-new-to-waco-older-home-big-trees-and-3-dogs-big-mess-now-clean-access/,93,100,100,93,0.5 s,0.8 s,0.001,330 ms,1.0 s,2.0 s,100,100,100,92,0.6 s,0.7 s,0,330 ms,1.0 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/new-sitting-area-and-additional-landscape/,99,100,100,93,0.7 s,0.9 s,0,130 ms,1.1 s,2.0 s,100,100,100,92,0.4 s,0.6 s,0,130 ms,1.1 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/installation-of-elm-tree-in-difficult-location-overlooking-lake-waco/,100,100,100,93,1.0 s,1.0 s,0.001,0 ms,1.0 s,2.1 s,99,100,100,92,0.6 s,0.7 s,0,0 ms,1.0 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/lunch-with-the-masters-rita-haws-plemmons/,99,100,100,93,0.6 s,0.8 s,0,100 ms,0.9 s,1.9 s,78,100,100,92,0.8 s,0.8 s,0.029,100 ms,0.9 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/the-best-promotional-for-any-company-give-the-client-your-best-work-and-make-it/,89,100,95,93,0.8 s,1.1 s,0,450 ms,1.4 s,2.3 s,91,100,95,92,0.9 s,0.9 s,0.002,450 ms,1.4 s,2.3 s,08/21/2023
https://landscapewaco.com/blog/mark-your-calenders/,100,100,100,93,0.6 s,0.8 s,0,20 ms,0.6 s,1.7 s,99,100,100,92,0.8 s,0.8 s,0,20 ms,0.6 s,1.7 s,08/21/2023
https://landscapewaco.com/blog/landscape-articles/why-you-should-get-artificial-grass-installation/,100,100,100,93,0.7 s,0.9 s,0.001,10 ms,0.7 s,1.8 s,82,100,100,92,0.5 s,0.8 s,0.015,10 ms,0.7 s,1.8 s,08/21/2023
https://landscapewaco.com/blog/picture-perfect-lawn-and-landscape-is-a-winner-in-landscape-contractors-lawn-ga/,99,100,100,93,0.8 s,0.9 s,0,110 ms,1.0 s,2.2 s,81,100,100,92,0.8 s,1.2 s,0.005,110 ms,1.0 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/excellent-opportunity-to-earn-a-living-while-creating-beautiful-outdoor-spaces-f-3/,92,100,100,93,0.7 s,0.8 s,0.033,350 ms,1.4 s,2.0 s,98,100,100,92,0.8 s,0.8 s,0.004,350 ms,1.4 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/starting-the-week-off-with-a-new-project-more-pictures-coming-soon/,99,100,100,93,0.7 s,0.8 s,0,140 ms,1.0 s,2.1 s,98,100,100,92,0.8 s,0.8 s,0.002,140 ms,1.0 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/landscapewaco-com-3/,99,100,100,93,0.5 s,0.8 s,0,130 ms,1.0 s,1.9 s,94,100,100,92,0.6 s,0.7 s,0,130 ms,1.0 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/waco-dont-blow-it-campaign-aims-to-keep-storm-drains-clear/,89,100,100,93,0.6 s,0.8 s,0.004,450 ms,1.3 s,1.9 s,94,100,100,92,0.9 s,0.9 s,0.001,450 ms,1.3 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/why-winter-is-the-best-time-to-trim-trees-in-texas-picture-perfect-lawn-landscape/,92,100,100,93,0.5 s,0.8 s,0.038,360 ms,1.1 s,1.9 s,83,100,100,92,0.8 s,1.2 s,0.008,360 ms,1.1 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/landscape-design-ideas-you-can-implement-now-picture-perfect-lawn-landscape/,92,100,100,93,0.7 s,0.9 s,0,330 ms,1.3 s,2.1 s,83,100,100,92,0.6 s,1.1 s,0,330 ms,1.3 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/home-landscaping-design-inspiration-for-homeowners/,89,100,100,93,0.5 s,0.8 s,0,430 ms,1.1 s,2.2 s,71,100,100,92,0.8 s,1.1 s,0.001,430 ms,1.1 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/why-winter-is-the-best-time-to-trim-trees-in-texas/,97,100,100,93,0.6 s,0.7 s,0,200 ms,0.9 s,1.1 s,88,100,100,92,0.4 s,0.8 s,0,200 ms,0.9 s,1.1 s,08/21/2023
https://landscapewaco.com/blog/landscaping-with-native-texas-plants/,93,100,100,93,0.5 s,0.8 s,0.001,320 ms,1.0 s,2.0 s,95,100,100,92,0.5 s,0.8 s,0.014,320 ms,1.0 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/landscape-design-ideas-you-can-implement-now/,98,100,100,93,0.8 s,0.9 s,0,150 ms,1.1 s,2.4 s,99,100,100,92,0.6 s,0.7 s,0,150 ms,1.1 s,2.4 s,08/21/2023
https://landscapewaco.com/blog/how-to-conserve-irrigation-water/,95,100,100,93,0.6 s,0.9 s,0.001,250 ms,1.1 s,2.0 s,94,100,100,92,0.6 s,0.7 s,0,250 ms,1.1 s,2.0 s,08/21/2023
https://landscapewaco.com/blog/for-pretty-winter-and-early-spring-flowers-you-have-to-plant-in-the-fall/,100,100,100,93,0.6 s,0.8 s,0,70 ms,0.9 s,1.8 s,97,100,100,92,0.8 s,0.8 s,0,70 ms,0.9 s,1.8 s,08/21/2023
https://landscapewaco.com/blog/award-winning-company-again-this-year/,89,100,100,93,0.7 s,0.8 s,0,430 ms,1.3 s,2.3 s,99,100,100,92,0.6 s,0.9 s,0.025,430 ms,1.3 s,2.3 s,08/21/2023
https://landscapewaco.com/blog/starting-a-couple-of-exciting-projects-this-week-just-some-of-the-materials-are/,95,100,100,93,0.6 s,0.9 s,0,260 ms,1.1 s,1.3 s,89,100,100,92,0.8 s,1.1 s,0.024,260 ms,1.1 s,1.3 s,08/21/2023
https://landscapewaco.com/blog/lunch-with-the-masters-fran-pontasch/,85,100,100,93,0.6 s,0.9 s,0,590 ms,1.5 s,2.1 s,97,100,100,92,0.8 s,0.8 s,0.001,590 ms,1.5 s,2.1 s,08/21/2023
https://landscapewaco.com/blog/video-3/,96,100,100,93,0.8 s,0.8 s,0,220 ms,1.3 s,2.2 s,98,100,100,92,0.8 s,0.8 s,0,220 ms,1.3 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/finishing-a-project-near-whitney/,91,100,100,93,0.6 s,0.8 s,0,380 ms,1.2 s,2.2 s,93,100,100,92,1.1 s,1.2 s,0.001,380 ms,1.2 s,2.2 s,08/21/2023
https://landscapewaco.com/blog/blank-wall-solutions/,98,100,100,93,0.5 s,0.9 s,0,180 ms,0.9 s,1.9 s,97,100,100,92,0.8 s,0.8 s,0,180 ms,0.9 s,1.9 s,08/21/2023
https://landscapewaco.com/blog/video-2/,99,100,100,93,0.7 s,0.9 s,0,100 ms,1.1 s,2.2 s,87,100,100,92,0.4 s,0.8 s,0,100 ms,1.1 s,2.2 s,08/21/2023
