"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://theplantconcierge.com/total-transparency-establishing-a-culture-of-trust-and-respect/,99,98,100,100,0.6 s,0.7 s,0,90 ms,0.8 s,1.2 s,83,98,100,100,0.3 s,0.9 s,0,90 ms,0.8 s,1.2 s,08/17/2023
https://theplantconcierge.com/united-to-learn/,98,98,100,100,0.6 s,0.7 s,0,150 ms,0.9 s,1.2 s,100,98,100,100,0.5 s,0.6 s,0,150 ms,0.9 s,1.2 s,08/17/2023
https://theplantconcierge.com/landscaping-design-style-theme-guide/,99,98,100,100,0.5 s,0.6 s,0,110 ms,0.7 s,0.7 s,85,98,100,100,0.5 s,0.8 s,0,110 ms,0.7 s,0.7 s,08/17/2023
https://theplantconcierge.com/8-top-dallas-landscape-maintenance-tips/,98,98,100,100,0.3 s,0.6 s,0,160 ms,0.6 s,0.9 s,99,98,100,100,0.4 s,0.8 s,0,160 ms,0.6 s,0.9 s,08/17/2023
https://theplantconcierge.com/outdoor-kitchen-ideas-furnish-your-outdoor-space-with-luxury/,100,98,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.6 s,83,98,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.6 s,08/17/2023
https://theplantconcierge.com/residential-lawn-maintenance-keeping-your-lawn-beautiful-without-the-hassle/,93,98,100,100,0.4 s,0.8 s,0,320 ms,0.9 s,1.0 s,99,98,100,100,0.6 s,0.7 s,0,320 ms,0.9 s,1.0 s,08/17/2023
https://theplantconcierge.com/tips-for-a-successful-landscape-lighting-system-in-highland-park/,98,98,100,100,0.5 s,0.7 s,0,160 ms,0.8 s,0.6 s,93,98,100,100,0.7 s,1.0 s,0,160 ms,0.8 s,0.6 s,08/17/2023
https://theplantconcierge.com/top-luxury-landscaping-trends-and-ideas-for-2023/,100,98,100,100,0.6 s,0.6 s,0,40 ms,0.7 s,0.8 s,88,98,100,100,0.4 s,0.7 s,0,40 ms,0.7 s,0.8 s,08/17/2023
https://theplantconcierge.com/5-tips-for-choosing-the-best-landscaping-company-in-dallas/,99,98,100,100,0.6 s,0.9 s,0,140 ms,0.9 s,1.1 s,99,98,100,100,0.6 s,0.7 s,0,140 ms,0.9 s,1.1 s,08/17/2023
https://theplantconcierge.com/4-leading-qualities-of-a-reliable-organic-landscape-company/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.9 s,100,98,100,100,0.6 s,0.7 s,0,0 ms,0.6 s,0.9 s,08/17/2023
https://theplantconcierge.com/lawn-care/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.0 s,92,98,100,100,0.6 s,0.8 s,0,0 ms,0.6 s,1.0 s,08/17/2023
https://theplantconcierge.com/how-to-prevent-wrinkles-in-artificial-turf-6-expert-tips/,99,98,100,100,0.5 s,0.7 s,0,110 ms,0.7 s,0.8 s,84,98,100,100,0.3 s,0.9 s,0,110 ms,0.7 s,0.8 s,08/17/2023
https://theplantconcierge.com/plant-walls-how-to-create-a-living-wallscape/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,94,98,100,100,0.6 s,0.8 s,0,0 ms,0.6 s,0.8 s,08/17/2023
https://theplantconcierge.com/landscape-design/,95,98,100,100,0.5 s,0.7 s,0,260 ms,0.8 s,0.9 s,95,98,100,100,0.6 s,0.8 s,0,260 ms,0.8 s,0.9 s,08/17/2023
https://theplantconcierge.com/how-to-transform-your-landscape-design-vision-into-reality-with-the-help-of-a-landscaping-company/,100,98,100,100,0.6 s,0.9 s,0,90 ms,0.9 s,1.0 s,99,98,100,100,0.6 s,0.7 s,0,90 ms,0.9 s,1.0 s,08/17/2023
https://theplantconcierge.com/low-maintenance-landscaping-ideas-dallas/,100,98,100,100,0.4 s,0.6 s,0,40 ms,0.5 s,0.6 s,99,98,100,100,0.6 s,0.7 s,0,40 ms,0.5 s,0.6 s,08/17/2023
https://theplantconcierge.com/landscape-design-preston-hollow/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.8 s,97,98,100,100,0.5 s,0.7 s,0,0 ms,0.6 s,0.8 s,08/17/2023
https://theplantconcierge.com/who-can-benefit-from-landscape-lighting/,91,98,100,100,0.5 s,0.7 s,0,370 ms,1.1 s,0.9 s,94,98,100,100,0.5 s,0.6 s,0,370 ms,1.1 s,0.9 s,08/17/2023
https://theplantconcierge.com/9-benefits-of-outdoor-kitchens/,94,98,100,100,0.4 s,0.6 s,0,280 ms,0.9 s,0.8 s,100,98,100,100,0.6 s,0.7 s,0.001,280 ms,0.9 s,0.8 s,08/17/2023
https://theplantconcierge.com/reasons-to-hire-a-professional-landscaping-service-in-flower-mound-for-your-property/,100,98,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.0 s,100,98,100,100,0.4 s,0.6 s,0.001,0 ms,0.6 s,1.0 s,08/17/2023
https://theplantconcierge.com/why-landscape-design-is-so-important-for-your-property/,97,98,100,100,0.5 s,0.7 s,0,200 ms,0.9 s,0.9 s,99,98,100,100,0.6 s,0.6 s,0,200 ms,0.9 s,0.9 s,08/17/2023
https://theplantconcierge.com/landscaping-company/,100,98,100,100,0.6 s,0.6 s,0,50 ms,0.7 s,0.9 s,99,98,100,100,0.6 s,0.7 s,0,50 ms,0.7 s,0.9 s,08/17/2023
https://theplantconcierge.com/5-benefits-of-installing-artificial-turf-around-your-home/,98,98,100,100,0.6 s,0.9 s,0,150 ms,0.9 s,1.0 s,98,98,100,100,0.6 s,0.7 s,0,150 ms,0.9 s,1.0 s,08/17/2023
