"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://wordpress-967724-3400859.cloudwaysapps.com/ask-your-pool-builder-in-houston-these-questions-before-you-start/,100,100,100,90,0.3 s,0.5 s,0,0 ms,0.3 s,0.8 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.3 s,0.8 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/the-best-styles-for-outdoor-kitchens/,100,100,100,90,0.4 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,100,100,92,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/the-3-most-popular-uses-for-pergolas/,100,100,100,89,0.4 s,0.8 s,0,0 ms,0.4 s,0.8 s,100,100,100,92,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.8 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/why-you-should-have-an-outdoor-fireplace-installed/,100,100,100,90,0.5 s,0.6 s,0,50 ms,0.8 s,1.0 s,100,100,100,92,0.4 s,0.5 s,0.016,50 ms,0.8 s,1.0 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/building-a-covered-patio-in-houston-consider-this/,100,100,100,90,0.4 s,0.4 s,0,20 ms,0.6 s,0.4 s,100,100,100,92,0.5 s,0.5 s,0.016,20 ms,0.6 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/why-you-should-consider-building-a-pergola-in-houston/,100,100,100,90,0.5 s,0.6 s,0,0 ms,0.5 s,0.7 s,99,100,100,92,0.5 s,0.5 s,0.016,0 ms,0.5 s,0.7 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/4-cost-effective-pool-building-tips/,100,100,100,90,0.5 s,0.6 s,0,0 ms,0.5 s,1.0 s,100,100,100,92,0.4 s,0.6 s,0.016,0 ms,0.5 s,1.0 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/blog/5-ideas-for-your-outdoor-kitchen-in-houston/,100,100,100,89,0.4 s,0.5 s,0,10 ms,0.6 s,0.5 s,100,100,100,92,0.4 s,0.5 s,0.016,10 ms,0.6 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/blog/drought-tolerant-landscaping-10-key-tips/,100,100,100,90,0.5 s,0.6 s,0,40 ms,0.7 s,0.6 s,100,100,100,92,0.5 s,0.6 s,0.016,40 ms,0.7 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/,100,91,100,86,0.4 s,0.7 s,0,0 ms,0.4 s,0.5 s,100,91,100,83,0.4 s,0.7 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/about-us/,100,100,100,93,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.3 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/financing/,100,100,100,93,0.5 s,0.5 s,0,30 ms,0.8 s,1.3 s,99,100,100,92,0.5 s,0.6 s,0.016,30 ms,0.8 s,1.3 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/our-projects/,100,100,100,93,0.4 s,0.4 s,0,0 ms,0.7 s,0.8 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.7 s,0.8 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/outdoor-kitchen-grills/,100,92,100,86,0.4 s,0.5 s,0,0 ms,0.5 s,0.7 s,100,92,100,83,0.3 s,0.4 s,0.016,0 ms,0.5 s,0.7 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/,100,100,100,93,0.4 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,100,100,92,0.4 s,0.7 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/new-pools/,100,92,100,86,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,92,100,83,0.3 s,0.4 s,0.016,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/blog/,100,97,100,79,0.4 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,97,100,75,0.4 s,0.4 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/blog-page/,100,97,100,79,0.6 s,0.6 s,0,40 ms,0.9 s,2.4 s,100,97,100,75,0.5 s,0.5 s,0.016,40 ms,0.9 s,2.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/locations/,100,95,100,93,0.4 s,0.6 s,0,0 ms,0.4 s,0.8 s,100,95,100,92,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.8 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/spring-texas/,100,96,100,93,0.3 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,96,100,92,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/cypress/,100,96,100,93,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,96,100,92,0.3 s,0.4 s,0.036,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/katy/,100,96,100,93,0.4 s,0.5 s,0,20 ms,0.5 s,0.6 s,100,96,100,92,0.3 s,0.4 s,0.016,20 ms,0.5 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/magnolia/,100,96,100,93,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,96,100,92,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/the-woodlands/,100,96,100,93,0.3 s,0.4 s,0,0 ms,0.4 s,0.5 s,100,96,100,92,0.3 s,0.4 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/location/tomball/,100,96,100,93,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,96,100,92,0.4 s,0.4 s,0.036,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/irrigation-and-drains-system/,100,100,100,93,0.8 s,0.9 s,0,0 ms,0.8 s,0.8 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.8 s,0.8 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/retaining-walls/,100,92,100,86,0.3 s,0.3 s,0,20 ms,0.6 s,0.6 s,93,92,100,83,0.5 s,1.7 s,0.016,20 ms,0.6 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/pool-maintenance/,100,100,100,93,0.3 s,0.4 s,0,0 ms,0.4 s,0.3 s,100,100,100,92,0.3 s,0.4 s,0.016,0 ms,0.4 s,0.3 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/fireplaces-fire-pits/,100,92,100,86,0.4 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,92,100,83,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/patios-walkways/,100,92,100,86,0.3 s,0.3 s,0,0 ms,0.4 s,0.4 s,99,92,100,83,0.7 s,0.7 s,0.016,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/outdoor-living/pergolas-cabanas/,100,92,100,86,0.3 s,0.3 s,0,0 ms,0.3 s,0.4 s,100,92,100,83,0.3 s,0.3 s,0.033,0 ms,0.3 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/landscape/,100,92,100,86,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,92,100,83,0.3 s,0.3 s,0.016,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/request-a-quote/,100,100,100,86,0.6 s,0.6 s,0,30 ms,0.6 s,0.9 s,100,100,100,83,0.4 s,0.5 s,0.016,30 ms,0.6 s,0.9 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/get-10-steps-report/,100,100,100,93,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.5 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/contact-us/,100,98,100,93,0.7 s,0.8 s,0,0 ms,0.7 s,1.5 s,99,98,100,92,0.3 s,0.4 s,0.016,0 ms,0.7 s,1.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/blog-test/,100,100,92,86,0.4 s,0.5 s,0,0 ms,0.4 s,0.6 s,100,100,100,83,0.4 s,0.4 s,0.016,0 ms,0.4 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/tos/,100,100,100,93,0.4 s,0.5 s,0,0 ms,0.4 s,0.5 s,100,100,100,92,0.4 s,0.4 s,0.016,0 ms,0.4 s,0.5 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/privacy/,100,100,100,93,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,100,100,100,92,0.4 s,0.7 s,0.016,0 ms,0.4 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/our-reviews/,100,91,100,86,0.3 s,0.6 s,0,0 ms,0.3 s,0.4 s,100,91,100,83,0.4 s,0.7 s,0.016,0 ms,0.3 s,0.4 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/thank-you/,100,98,92,93,0.4 s,0.4 s,0,0 ms,0.6 s,0.7 s,100,98,100,92,0.4 s,0.4 s,0.016,0 ms,0.6 s,0.7 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/thank-you-10-steps-report/,100,100,100,93,0.6 s,0.6 s,0,0 ms,0.6 s,0.6 s,100,100,100,92,0.4 s,0.5 s,0.016,0 ms,0.6 s,0.6 s,03/30/2023
https://wordpress-967724-3400859.cloudwaysapps.com/sitemap/,100,100,100,81,0.4 s,0.4 s,0,0 ms,0.4 s,0.7 s,100,100,100,83,0.4 s,0.5 s,0.016,0 ms,0.4 s,0.7 s,03/30/2023
