"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.growselfgrowbusiness.com/,99,100,100,100,0.4 s,0.7 s,0,130 ms,0.5 s,0.8 s,100,100,100,100,0.4 s,0.8 s,0.026,130 ms,0.5 s,0.8 s,03/23/2023
https://www.growselfgrowbusiness.com/intention-of-this-blog/,100,100,100,100,0.4 s,0.7 s,0.021,10 ms,0.5 s,1.0 s,98,100,100,100,0.7 s,1.0 s,0.008,10 ms,0.5 s,1.0 s,03/23/2023
https://www.growselfgrowbusiness.com/sitemap/,100,100,100,99,0.6 s,0.6 s,0.037,0 ms,0.6 s,0.6 s,99,100,100,100,0.7 s,0.7 s,0.009,0 ms,0.6 s,0.6 s,03/23/2023
https://www.growselfgrowbusiness.com/invite-dilshad-to-speak/,100,100,100,100,0.3 s,0.6 s,0,0 ms,0.3 s,0.3 s,100,100,100,100,0.5 s,0.5 s,0.014,0 ms,0.3 s,0.3 s,03/23/2023
https://www.growselfgrowbusiness.com/contact/,100,100,100,100,0.4 s,0.7 s,0.017,0 ms,0.4 s,0.8 s,99,100,100,100,0.5 s,1.0 s,0.016,0 ms,0.4 s,0.8 s,03/23/2023
https://www.growselfgrowbusiness.com/,100,100,100,100,0.4 s,0.8 s,0.028,10 ms,0.5 s,0.5 s,100,100,100,100,0.4 s,0.7 s,0.026,10 ms,0.5 s,0.5 s,03/23/2023
https://www.growselfgrowbusiness.com/grow-your-business-by-growing-yourself/,100,100,100,100,0.5 s,0.8 s,0,0 ms,0.5 s,1.0 s,99,100,100,100,0.5 s,0.9 s,0.015,0 ms,0.5 s,1.0 s,03/23/2023
https://www.growselfgrowbusiness.com/redefine-success-to-grow-your-business/,100,100,100,100,0.4 s,0.7 s,0.019,0 ms,0.4 s,0.9 s,100,100,100,100,0.4 s,0.7 s,0.016,0 ms,0.4 s,0.9 s,03/23/2023
https://www.growselfgrowbusiness.com/use-emotional-awareness-to-grow-your-business/,100,100,100,100,0.6 s,0.6 s,0.031,0 ms,0.6 s,1.0 s,100,100,100,100,0.3 s,0.6 s,0,0 ms,0.6 s,1.0 s,03/23/2023
https://www.growselfgrowbusiness.com/leave-your-comfort-zone-to-grow-your-business/,100,100,100,100,0.5 s,0.5 s,0.028,0 ms,0.5 s,1.1 s,100,100,100,100,0.5 s,0.5 s,0.021,0 ms,0.5 s,1.1 s,03/23/2023
https://www.growselfgrowbusiness.com/compete-relentlessly-to-grow-your-business/,100,100,100,100,0.6 s,0.6 s,0.017,10 ms,0.6 s,1.3 s,100,100,100,100,0.6 s,0.6 s,0.018,10 ms,0.6 s,1.3 s,03/23/2023
