"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.makecustomersforlife.com/,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,550,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.5 s,550,07/02/2024
https://www.makecustomersforlife.com/contact-us/,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.4 s,399,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,399,07/02/2024
https://www.makecustomersforlife.com/sitemap/,100,100,100,97,0.3 s,0.7 s,0,0 ms,0.3 s,0.4 s,421,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,421,07/02/2024
https://www.makecustomersforlife.com/what-is-inbound-marketing/,100,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.5 s,543,,99,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.5 s,543,07/02/2024
https://www.makecustomersforlife.com/subscribe-for-newsletter/,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.4 s,416,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.4 s,416,07/02/2024
https://www.makecustomersforlife.com/crm-consulting-services/,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.9 s,394,,99,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.9 s,394,07/02/2024
https://www.makecustomersforlife.com/outbound-marketing-agency/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,484,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,484,07/02/2024
https://www.makecustomersforlife.com/marketing-automation-and-crm-consulting-services/,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.4 s,505,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,505,07/02/2024
https://www.makecustomersforlife.com/inbound-marketing-agency/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,490,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,490,07/02/2024
https://www.makecustomersforlife.com/reviews/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.5 s,405,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.5 s,405,07/02/2024
https://www.makecustomersforlife.com/blog/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,387,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.4 s,387,07/02/2024
https://www.makecustomersforlife.com/what-is-crm/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.5 s,465,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.5 s,465,07/02/2024
https://www.makecustomersforlife.com/grow-your-business-customer-experience-before-marketing/,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.5 s,491,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,0.5 s,491,07/02/2024
https://www.makecustomersforlife.com/sugarcrm-pricing-2020/,100,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.7 s,902,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.4 s,0.7 s,902,07/02/2024
https://www.makecustomersforlife.com/sugar-5-seat-best-small-business-crm/,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.6 s,489,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,0.6 s,489,07/02/2024
