"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,Diagnostics,"Date & Time"
https://www.makecustomersforlife.com/,99,100,100,100,1.2 s,1.2 s,0,0 ms,1.2 s,2.9 s,548,,99,100,100,100,0.7 s,0.8 s,0,0 ms,1.2 s,2.9 s,548,Issue,07/03/2024
https://www.makecustomersforlife.com/contact-us/,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,2.5 s,399,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,2.5 s,399,Issue,07/03/2024
https://www.makecustomersforlife.com/sitemap/,100,100,100,97,0.3 s,0.3 s,0,0 ms,0.3 s,2.5 s,421,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,2.5 s,421,Issue,07/03/2024
https://www.makecustomersforlife.com/what-is-inbound-marketing/,100,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.6 s,543,,99,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.6 s,543,Issue,07/03/2024
https://www.makecustomersforlife.com/subscribe-for-newsletter/,99,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,3.0 s,416,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,3.0 s,416,Issue,07/03/2024
https://www.makecustomersforlife.com/crm-consulting-services/,100,100,100,100,0.8 s,0.8 s,0,0 ms,0.8 s,1.0 s,393,,99,100,100,100,0.8 s,0.8 s,0,0 ms,0.8 s,1.0 s,393,Fixed,07/03/2024
https://www.makecustomersforlife.com/outbound-marketing-agency/,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.4 s,1.1 s,484,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.4 s,1.1 s,484,Issue,07/03/2024
https://www.makecustomersforlife.com/marketing-automation-and-crm-consulting-services/,99,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,3.0 s,505,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,3.0 s,505,Issue,07/03/2024
https://www.makecustomersforlife.com/inbound-marketing-agency/,100,100,100,100,0.8 s,1.0 s,0,0 ms,0.8 s,1.2 s,491,,70,100,100,100,2.7 s,2.7 s,0,0 ms,0.8 s,1.2 s,491,Issue,07/03/2024
https://www.makecustomersforlife.com/reviews/,100,100,100,100,0.8 s,0.8 s,0,0 ms,0.8 s,1.2 s,406,,99,100,100,100,0.7 s,0.7 s,0,0 ms,0.8 s,1.2 s,406,Issue,07/03/2024
https://www.makecustomersforlife.com/blog/,99,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,3.1 s,387,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,3.1 s,387,Issue,07/03/2024
https://www.makecustomersforlife.com/what-is-crm/,100,100,100,100,0.4 s,0.8 s,0,0 ms,0.4 s,0.9 s,465,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.4 s,0.9 s,465,Issue,07/03/2024
https://www.makecustomersforlife.com/grow-your-business-customer-experience-before-marketing/,99,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,3.1 s,491,,100,100,100,100,0.3 s,0.7 s,0,0 ms,0.3 s,3.1 s,491,Issue,07/03/2024
https://www.makecustomersforlife.com/sugarcrm-pricing-2020/,100,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,0.9 s,900,,99,100,100,100,0.7 s,0.7 s,0,0 ms,0.7 s,0.9 s,900,Issue,07/03/2024
https://www.makecustomersforlife.com/sugar-5-seat-best-small-business-crm/,99,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,3.1 s,489,,100,100,100,100,0.3 s,0.8 s,0,0 ms,0.3 s,3.1 s,489,Issue,07/03/2024
