"Url Tested",Mobile_Diagnostics,Desktop_Diagnostics,"Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.makecustomersforlife.com/,Issue,Fixed,100,100,100,100,0.7 s,0.8 s,0,0 ms,0.7 s,1.2 s,550,98,100,100,100,0.5 s,1.1 s,0,0 ms,0.7 s,1.2 s,550,07/04/2024
https://www.makecustomersforlife.com/contact-us/,Fixed,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,399,98,100,100,100,0.5 s,1.1 s,0,0 ms,0.5 s,0.6 s,399,07/04/2024
https://www.makecustomersforlife.com/sitemap/,Issue,Fixed,100,100,100,97,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,421,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,421,07/04/2024
https://www.makecustomersforlife.com/what-is-inbound-marketing/,Issue,Fixed,99,100,100,93,1.6 s,1.6 s,0,0 ms,1.6 s,1.6 s,543,100,100,100,100,0.6 s,0.6 s,0,0 ms,1.6 s,1.6 s,543,07/04/2024
https://www.makecustomersforlife.com/subscribe-for-newsletter/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,416,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,416,07/04/2024
https://www.makecustomersforlife.com/crm-consulting-services/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.1 s,394,98,100,100,100,0.5 s,1.2 s,0,0 ms,0.5 s,1.1 s,394,07/04/2024
https://www.makecustomersforlife.com/outbound-marketing-agency/,Issue,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.0 s,484,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.0 s,484,07/04/2024
https://www.makecustomersforlife.com/marketing-automation-and-crm-consulting-services/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,505,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,505,07/04/2024
https://www.makecustomersforlife.com/inbound-marketing-agency/,Issue,Fixed,100,100,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,1.0 s,490,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.6 s,1.0 s,490,07/04/2024
https://www.makecustomersforlife.com/reviews/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,405,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.9 s,405,07/04/2024
https://www.makecustomersforlife.com/blog/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,387,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,387,07/04/2024
https://www.makecustomersforlife.com/what-is-crm/,Issue,Fixed,100,100,100,100,0.5 s,1.1 s,0,0 ms,0.5 s,1.2 s,465,98,100,100,100,0.5 s,1.1 s,0,0 ms,0.5 s,1.2 s,465,07/04/2024
https://www.makecustomersforlife.com/grow-your-business-customer-experience-before-marketing/,Issue,Fixed,80,100,100,100,1.1 s,4.6 s,0,0 ms,1.1 s,5.1 s,491,98,100,100,100,0.5 s,1.1 s,0,0 ms,1.1 s,5.1 s,491,07/04/2024
https://www.makecustomersforlife.com/sugarcrm-pricing-2020/,Issue,Issue,100,100,100,100,0.5 s,1.1 s,0,0 ms,0.5 s,1.2 s,902,98,100,100,100,0.6 s,1.1 s,0,0 ms,0.5 s,1.2 s,902,07/04/2024
https://www.makecustomersforlife.com/sugar-5-seat-best-small-business-crm/,Issue,Fixed,100,100,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,1.0 s,489,98,100,100,100,0.5 s,1.1 s,0,0 ms,0.5 s,1.0 s,489,07/04/2024
