"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.personaldrivers.com/,99,100,100,100,0.5 s,0.8 s,0.001,90 ms,0.8 s,2.7 s,100,100,100,100,0.4 s,0.4 s,0.003,90 ms,0.8 s,2.7 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/car-delivery/,100,100,100,100,0.6 s,0.8 s,0.012,20 ms,0.8 s,1.3 s,97,100,100,100,0.3 s,0.4 s,0.104,20 ms,0.8 s,1.3 s,02/04/2024
https://www.personaldrivers.com/faq/private-driver-faq/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,1.0 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.5 s,1.0 s,02/04/2024
https://www.personaldrivers.com/faq/pet-transport-faq/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.9 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.5 s,0.9 s,02/04/2024
https://www.personaldrivers.com/faq/personal-driver-faq/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.6 s,1.0 s,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.6 s,1.0 s,02/04/2024
https://www.personaldrivers.com/faq/rv-driver-faq/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.9 s,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.9 s,02/04/2024
https://www.personaldrivers.com/faq/road-trip-driver-faq/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,1.0 s,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,1.0 s,02/04/2024
https://www.personaldrivers.com/faq/rental-truck-driver-faq/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,1.0 s,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.5 s,1.0 s,02/04/2024
https://www.personaldrivers.com/faq/long-distance-driver-faq/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,95,100,100,100,0.3 s,0.3 s,0.13,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/faq/car-delivery-faq/,100,100,100,100,0.5 s,0.6 s,0.005,0 ms,0.5 s,0.6 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.5 s,0.6 s,02/04/2024
https://www.personaldrivers.com/faq/hire-a-driver-faq/,100,100,100,100,0.5 s,0.6 s,0.005,20 ms,0.6 s,0.7 s,100,100,100,100,0.3 s,0.3 s,0,20 ms,0.6 s,0.7 s,02/04/2024
https://www.personaldrivers.com/faq/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/snowbird-transport/,100,100,100,100,0.5 s,0.7 s,0,0 ms,0.5 s,0.7 s,100,100,100,100,0.2 s,0.3 s,0.008,0 ms,0.5 s,0.7 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/private-driver/,100,100,100,100,0.6 s,0.9 s,0.012,0 ms,0.6 s,0.8 s,100,100,100,100,0.3 s,0.4 s,0.025,0 ms,0.6 s,0.8 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/pet-transport/,100,100,100,100,0.4 s,0.7 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0.008,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/personal-driver/,100,97,100,100,0.5 s,0.7 s,0,0 ms,0.6 s,0.7 s,99,97,100,100,0.2 s,0.3 s,0.042,0 ms,0.6 s,0.7 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/rv-driver/,100,100,100,100,0.5 s,0.7 s,0.012,0 ms,0.6 s,0.8 s,100,100,100,100,0.3 s,0.3 s,0.008,0 ms,0.6 s,0.8 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/road-trip-driver/,100,100,100,99,0.4 s,0.8 s,0.001,0 ms,0.4 s,0.5 s,100,100,100,100,0.1 s,0.2 s,0.008,0 ms,0.4 s,0.5 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,100,100,100,100,0.5 s,0.7 s,0,0 ms,0.6 s,0.6 s,100,100,100,100,0.3 s,0.3 s,0.008,0 ms,0.6 s,0.6 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/long-distance-driver/,100,100,100,100,0.5 s,0.7 s,0,0 ms,0.6 s,0.7 s,100,100,100,100,0.3 s,0.3 s,0.008,0 ms,0.6 s,0.7 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/hire-a-driver/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.3 s,0.3 s,0.008,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/prices-and-services/,100,97,100,93,0.5 s,0.7 s,0,0 ms,0.6 s,0.6 s,93,97,100,92,0.5 s,1.4 s,0.091,0 ms,0.6 s,0.6 s,02/04/2024
https://www.personaldrivers.com/driving-job-application/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/video-library/,100,100,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0.006,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/video-library/hire-a-driver-intro-video/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.2 s,0.2 s,0.006,0 ms,0.4 s,0.4 s,02/04/2024
https://www.personaldrivers.com/video-library/video-hire-personal-driver/,100,98,100,100,0.5 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,98,100,100,0.4 s,0.4 s,0,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/get-a-free-quote/,100,100,100,100,0.4 s,0.6 s,0,10 ms,0.5 s,0.6 s,100,100,100,100,0.2 s,0.2 s,0.007,10 ms,0.5 s,0.6 s,02/04/2024
https://www.personaldrivers.com/driving-jobs/,100,100,100,100,0.4 s,0.5 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.4 s,0.4 s,02/04/2024
https://www.personaldrivers.com/about-us/contact-personal-drivers/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/sitemap/,100,100,100,99,0.4 s,0.6 s,0,20 ms,0.6 s,0.5 s,100,100,100,100,0.2 s,0.2 s,0,20 ms,0.6 s,0.5 s,02/04/2024
https://www.personaldrivers.com/road-trip/tools/gas-calculator/,100,100,95,100,0.6 s,0.8 s,0,0 ms,0.6 s,0.6 s,100,100,95,100,0.2 s,0.3 s,0.03,0 ms,0.6 s,0.6 s,02/04/2024
https://www.personaldrivers.com/get-pet-transport-quote/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0.003,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/get-rv-driver-quote/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0.011,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/get-moving-truck-driver-quote/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.2 s,0.3 s,0.003,0 ms,0.4 s,0.4 s,02/04/2024
https://www.personaldrivers.com/get-car-delivery-quote/,100,100,100,100,0.4 s,0.7 s,0,10 ms,0.5 s,0.6 s,100,100,100,100,0.3 s,0.3 s,0.01,10 ms,0.5 s,0.6 s,02/04/2024
https://www.personaldrivers.com/get-driver-for-road-trip-quote/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.5 s,100,100,100,100,0.2 s,0.2 s,0.003,0 ms,0.4 s,0.5 s,02/04/2024
https://www.personaldrivers.com/about-us/vision-mission-principles/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.4 s,100,100,100,100,0.2 s,0.2 s,0,0 ms,0.4 s,0.4 s,02/04/2024
https://www.personaldrivers.com/about-us/,100,100,100,100,0.5 s,0.6 s,0.009,0 ms,0.5 s,0.5 s,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,02/04/2024
https://www.personaldrivers.com/blog/,98,100,100,100,0.5 s,0.8 s,0,150 ms,0.7 s,0.6 s,100,100,100,100,0.2 s,0.3 s,0,150 ms,0.7 s,0.6 s,02/04/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,100,100,100,100,0.4 s,0.6 s,0,0 ms,0.4 s,0.5 s,100,100,100,100,0.1 s,0.3 s,0,0 ms,0.4 s,0.5 s,02/04/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,100,100,100,100,0.5 s,0.6 s,0,50 ms,0.6 s,0.6 s,100,100,100,100,0.3 s,0.3 s,0,50 ms,0.6 s,0.6 s,02/04/2024
