"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,99,100,100,100,0.6 s,0.8 s,0,110 ms,0.8 s,0.9 s,735,100,100,100,100,0.3 s,0.4 s,0,110 ms,0.8 s,0.9 s,735,03/21/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,0.5 s,0.7 s,0,40 ms,0.6 s,0.6 s,658,99,100,100,100,0.4 s,0.4 s,0,40 ms,0.6 s,0.6 s,658,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,0.5 s,1.1 s,0,40 ms,0.6 s,0.6 s,616,100,100,100,100,0.5 s,0.5 s,0,40 ms,0.6 s,0.6 s,616,03/21/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,100,100,100,100,0.6 s,0.8 s,0,90 ms,0.8 s,0.8 s,564,99,100,100,100,0.4 s,0.9 s,0,90 ms,0.8 s,0.8 s,564,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,100,100,100,100,0.7 s,0.8 s,0,40 ms,0.8 s,1.0 s,744,100,100,100,100,0.5 s,0.5 s,0,40 ms,0.8 s,1.0 s,744,03/21/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,553,98,100,100,100,0.4 s,0.5 s,0,50 ms,0.6 s,0.7 s,553,03/21/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,100,100,100,100,0.5 s,0.9 s,0,50 ms,0.6 s,0.6 s,559,100,100,100,100,0.3 s,0.4 s,0,50 ms,0.6 s,0.6 s,559,03/21/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,564,100,100,100,100,0.4 s,0.4 s,0,50 ms,0.6 s,0.7 s,564,03/21/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,0.4 s,0.7 s,0,10 ms,0.5 s,0.5 s,610,100,100,100,100,0.3 s,0.4 s,0,10 ms,0.5 s,0.5 s,610,03/21/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,100,100,100,100,0.5 s,0.8 s,0,50 ms,0.6 s,0.7 s,602,100,100,100,100,0.3 s,0.4 s,0,50 ms,0.6 s,0.7 s,602,03/21/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,0.5 s,0.9 s,0,40 ms,0.6 s,0.7 s,621,100,100,100,100,0.4 s,0.4 s,0,40 ms,0.6 s,0.7 s,621,03/21/2024
https://www.personaldrivers.com/,100,100,100,100,0.6 s,0.7 s,0.001,10 ms,0.7 s,1.9 s,776,97,100,100,100,0.2 s,0.3 s,0.008,10 ms,0.7 s,1.9 s,776,03/21/2024
https://www.personaldrivers.com/prices-and-services/hire-a-snowbird-transport-driver/,99,100,100,100,0.4 s,0.6 s,0,120 ms,0.6 s,0.7 s,801,96,100,100,100,0.2 s,0.3 s,0.008,120 ms,0.6 s,0.7 s,803,03/21/2024
https://www.personaldrivers.com/prices-and-services/,99,97,100,100,0.6 s,0.8 s,0,130 ms,0.8 s,0.9 s,639,99,97,100,100,0.3 s,0.5 s,0.007,130 ms,0.8 s,0.9 s,641,03/21/2024
https://www.personaldrivers.com/prices-and-services/rental-truck-driver/,99,100,100,100,0.4 s,0.8 s,0,100 ms,0.6 s,0.7 s,690,100,100,100,100,0.5 s,0.5 s,0.008,100 ms,0.6 s,0.7 s,690,03/21/2024
https://www.personaldrivers.com/prices-and-services/private-driver/,100,100,100,100,0.6 s,0.8 s,0,90 ms,0.8 s,0.9 s,825,100,100,100,100,0.4 s,0.4 s,0.008,90 ms,0.8 s,0.9 s,825,03/21/2024
https://www.personaldrivers.com/customer-experiences/cross-country-vehicle-transport-for-manufacturing-project/,100,100,100,99,0.5 s,0.9 s,0,40 ms,0.6 s,0.7 s,480,100,100,100,100,0.3 s,0.3 s,0,40 ms,0.6 s,0.7 s,481,03/21/2024
https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,100,100,100,100,0.5 s,0.8 s,0,30 ms,0.6 s,0.6 s,482,100,100,100,100,0.3 s,0.4 s,0,30 ms,0.6 s,0.6 s,483,03/21/2024
https://www.personaldrivers.com/customer-experiences/construction-truck-transport-with-trailer/,100,100,100,100,0.5 s,0.9 s,0,50 ms,0.6 s,0.6 s,464,100,100,100,100,0.3 s,0.3 s,0,50 ms,0.6 s,0.6 s,464,03/21/2024
https://www.personaldrivers.com/prices-and-services/hire-a-driver/,98,100,100,97,0.4 s,0.8 s,0,160 ms,0.7 s,0.8 s,826,98,100,100,100,0.2 s,0.5 s,0.008,160 ms,0.7 s,0.8 s,828,03/21/2024
