"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,Diagnostics,"Date & Time"
https://www.personaldrivers.com/blog/,100,100,100,100,1.0 s,1.9 s,0,0 ms,1.0 s,1.1 s,649,,98,100,100,100,1.1 s,2.3 s,0,0 ms,1.0 s,1.1 s,649,Fixed,07/03/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,613,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,613,Fixed,07/03/2024
https://www.personaldrivers.com/long-distance-driver/hire-a-long-distance-driver-cost/,100,100,100,100,1.1 s,1.4 s,0,0 ms,1.1 s,1.1 s,635,,100,100,100,100,1.1 s,1.4 s,0,0 ms,1.1 s,1.1 s,635,Fixed,07/03/2024
https://www.personaldrivers.com/hire-a-driver/how-much-does-it-cost-to-hire-someone-to-drive-you-around/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,606,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,606,Fixed,07/03/2024
https://www.personaldrivers.com/hire-a-driver/ultimate-luxury-road-trips/,99,100,100,100,1.0 s,1.8 s,0.067,10 ms,1.1 s,1.0 s,544,,99,100,100,100,1.0 s,1.8 s,0.067,10 ms,1.1 s,1.0 s,544,Fixed,07/03/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,732,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,732,Fixed,07/03/2024
https://www.personaldrivers.com/personal-driver/5-reasons-hiring-a-personal-driver/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,541,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,541,Fixed,07/03/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,590,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,590,Fixed,07/03/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,547,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,547,Fixed,07/03/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.2 s,606,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.2 s,606,Fixed,07/03/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,646,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.1 s,646,Fixed,07/03/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,554,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,554,Fixed,07/03/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.2 s,598,,100,100,100,100,1.1 s,1.5 s,0,0 ms,1.1 s,1.2 s,598,Fixed,07/03/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,99,100,100,99,1.0 s,1.8 s,0.04,50 ms,1.1 s,1.0 s,734,,99,100,100,99,1.0 s,1.8 s,0.04,50 ms,1.1 s,1.0 s,734,Fixed,07/03/2024
https://www.personaldrivers.com/,100,100,100,100,1.1 s,1.2 s,0,0 ms,1.2 s,1.1 s,705,,100,100,100,100,1.1 s,1.4 s,0,0 ms,1.2 s,1.1 s,705,Fixed,07/03/2024
https://www.personaldrivers.com/prices-and-services/hire-a-driver/,100,97,100,98,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,717,,100,97,100,98,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,717,Fixed,07/03/2024
https://www.personaldrivers.com/prices-and-services/,100,97,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,618,,100,97,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,618,Fixed,07/03/2024
https://www.personaldrivers.com/customer-experiences/seemless-move-to-florida-in-retirement/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,458,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,458,Fixed,07/03/2024
https://www.personaldrivers.com/prices-and-services/hire-a-personal-driver/,100,97,100,100,1.3 s,1.6 s,0,0 ms,1.3 s,1.3 s,786,,100,97,100,100,1.3 s,1.6 s,0,0 ms,1.3 s,1.3 s,786,Fixed,07/03/2024
https://www.personaldrivers.com/prices-and-services/road-trip-driver/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,762,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,762,Fixed,07/03/2024
https://www.personaldrivers.com/get-rental-truck-driver-quote/,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,787,,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,787,Fixed,07/03/2024
https://www.personaldrivers.com/web-stories/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,630,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,630,Fixed,07/03/2024
https://www.personaldrivers.com/video-library/rv-driver-video-introduction/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,442,,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,442,Fixed,07/03/2024
https://www.personaldrivers.com/customer-experiences/construction-truck-transport-with-trailer/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,460,,100,100,100,100,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,460,Fixed,07/03/2024
https://www.personaldrivers.com/customer-experiences/cross-country-vehicle-transport-for-manufacturing-project/,100,100,100,99,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,460,,100,100,100,99,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,460,Fixed,07/03/2024
https://www.personaldrivers.com/customer-experiences/convention-equipment-delivery/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,462,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,462,Fixed,07/03/2024
https://www.personaldrivers.com/customer-experiences/medical-transport-across-states/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,473,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,473,Fixed,07/03/2024
https://www.personaldrivers.com/video-library/video-snowbird-transport/,100,100,100,100,1.1 s,1.4 s,0,0 ms,1.1 s,1.1 s,457,,100,100,100,100,1.1 s,1.4 s,0,0 ms,1.1 s,1.1 s,457,Fixed,07/03/2024
https://www.personaldrivers.com/privacy-policy/,100,100,100,97,1.2 s,1.3 s,0.001,0 ms,1.2 s,1.2 s,687,,100,100,100,97,1.1 s,1.3 s,0.001,0 ms,1.2 s,1.2 s,687,Fixed,07/03/2024
https://www.personaldrivers.com/get-driver-for-road-trip-quote/,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,784,,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,784,Fixed,07/03/2024
https://www.personaldrivers.com/get-pet-transport-quote/,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,784,,100,100,100,99,1.1 s,1.2 s,0,0 ms,1.1 s,1.1 s,784,Fixed,07/03/2024
https://www.personaldrivers.com/about-us/contact-personal-drivers/,100,100,100,99,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,499,,100,100,100,99,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,499,Fixed,07/03/2024
https://www.personaldrivers.com/video-library/hire-a-driver-intro-video/,100,100,100,100,1.0 s,1.1 s,0,0 ms,1.1 s,1.0 s,452,,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.1 s,1.0 s,452,Fixed,07/03/2024
https://www.personaldrivers.com/video-library/video-hire-personal-driver/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,452,,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,452,Fixed,07/03/2024
https://www.personaldrivers.com/video-library/,100,100,100,100,1.0 s,1.0 s,0,0 ms,1.0 s,1.0 s,469,,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.0 s,1.0 s,469,Fixed,07/03/2024
https://www.personaldrivers.com/faq/private-driver-faq/,100,100,100,100,1.1 s,1.1 s,0,0 ms,1.1 s,1.1 s,469,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,469,Fixed,07/03/2024
https://www.personaldrivers.com/faq/pet-transport-faq/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,487,,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,487,Fixed,07/03/2024
