"Url Tested",Mobile_Diagnostics,Desktop_Diagnostics,"Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.personaldrivers.com/blog/,Issue,Issue,100,100,100,100,0.3 s,0.5 s,0,0 ms,0.3 s,0.3 s,647,100,100,100,100,0.3 s,0.5 s,0,0 ms,0.3 s,0.3 s,647,07/05/2024
https://www.personaldrivers.com/rental-truck-driver/rental-truck-contract/,Fixed,Issue,100,100,100,99,0.4 s,0.4 s,0,0 ms,0.4 s,0.4 s,731,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.4 s,0.4 s,731,07/05/2024
https://www.personaldrivers.com/car-delivery/why-not-drive-car-for-vehicle-relocation/,Fixed,Issue,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,546,100,100,100,100,0.4 s,0.4 s,0,0 ms,0.3 s,0.3 s,546,07/05/2024
https://www.personaldrivers.com/rv-driver/rv-driver-enhances-rv-adventure/,Issue,Fixed,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,551,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,551,07/05/2024
https://www.personaldrivers.com/rental-truck-driver/hire-a-moving-truck-driver-to-simplify-long-distance-diy-move/,Fixed,Fixed,100,100,100,100,0.3 s,0.3 s,0,0 ms,0.3 s,0.5 s,598,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,598,07/05/2024
https://www.personaldrivers.com/personal-driver/plan-perfect-road-trip-with-personal-driver/,Fixed,Fixed,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,590,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,590,07/05/2024
https://www.personaldrivers.com/hire-a-driver/top-10-benefits-of-hire-a-driver-service/,Fixed,Fixed,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,644,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,644,07/05/2024
https://www.personaldrivers.com/road-trip-driver/safe-and-stress-free-family-road-trip-with-road-trip-driver/,Issue,Issue,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,608,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,608,07/05/2024
https://www.personaldrivers.com/rental-truck-driver/professional-rental-truck-driver-best-for-long-distance-move/,Issue,Fixed,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,603,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.5 s,603,07/05/2024
https://www.personaldrivers.com/personal-driver/ultimate-guide-to-personal-driver-costs/,Fixed,Fixed,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,730,100,100,100,100,0.3 s,0.4 s,0,0 ms,0.3 s,0.3 s,730,07/05/2024
