"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI",MDOM_Size,"Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI",DDOM_Size,"Date & Time"
https://www.theperfectlawn.com/,100,100,100,100,0.9 s,0.9 s,0,0 ms,0.9 s,1.2 s,775,94,100,100,100,0.2 s,0.3 s,0,0 ms,0.9 s,1.2 s,775,05/01/2024
https://www.theperfectlawn.com/services/artificial-grass-maintenance/,99,96,100,100,0.4 s,0.5 s,0,100 ms,0.6 s,0.6 s,453,99,100,100,100,0.2 s,0.3 s,0,100 ms,0.6 s,0.6 s,453,05/01/2024
https://www.theperfectlawn.com/services/putting-green-turf/,98,96,100,100,0.4 s,0.5 s,0,150 ms,0.6 s,0.7 s,522,100,96,100,100,0.1 s,0.3 s,0.001,150 ms,0.6 s,0.7 s,522,05/01/2024
https://www.theperfectlawn.com/services/pet-turf/,100,96,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.6 s,550,100,100,100,100,0.2 s,0.3 s,0.001,0 ms,0.5 s,0.6 s,550,05/01/2024
https://www.theperfectlawn.com/about/privacy-policy/,100,96,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,447,100,100,100,100,0.2 s,0.3 s,0.001,0 ms,0.5 s,0.5 s,447,05/01/2024
https://www.theperfectlawn.com/services/synthetic-grass-installation-dallas/,100,96,100,100,0.6 s,0.7 s,0,30 ms,0.7 s,0.7 s,710,86,100,100,100,0.2 s,0.4 s,0,30 ms,0.7 s,0.7 s,710,05/01/2024
https://www.theperfectlawn.com/about/reviews/,100,96,100,100,0.5 s,0.6 s,0,30 ms,0.6 s,0.6 s,1017,97,100,100,100,0.2 s,0.3 s,0,30 ms,0.6 s,0.6 s,1017,05/01/2024
https://www.theperfectlawn.com/blog/sports-turf/,100,96,100,100,0.5 s,0.5 s,0,0 ms,0.5 s,0.5 s,501,100,100,100,100,0.2 s,0.3 s,0,0 ms,0.5 s,0.5 s,501,05/01/2024
https://www.theperfectlawn.com/blog/putting-green/,99,96,100,100,0.4 s,0.5 s,0.004,90 ms,0.6 s,0.6 s,499,99,100,100,100,0.2 s,0.3 s,0,90 ms,0.6 s,0.6 s,499,05/01/2024
https://www.theperfectlawn.com/blog/artificial-grass/,100,96,100,100,0.3 s,0.6 s,0,50 ms,0.5 s,0.5 s,631,99,100,100,100,0.2 s,0.3 s,0,50 ms,0.5 s,0.5 s,631,05/01/2024
https://www.theperfectlawn.com/services/artificial-grass-installation/,100,96,100,100,0.6 s,0.6 s,0,0 ms,0.6 s,0.7 s,558,95,100,100,100,0.2 s,0.4 s,0,0 ms,0.6 s,0.7 s,558,05/01/2024
