"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.theplantconcierge.com/landscaping/landscape-styles-and-themes/,79,100,95,100,0.8 s,0.9 s,0.002,940 ms,3.5 s,1.9 s,67,100,95,100,0.4 s,0.6 s,0.001,940 ms,3.5 s,1.9 s,01/23/2024
https://www.theplantconcierge.com/landscape-miantenance/low-maintenance-landscaping/,86,100,95,100,0.9 s,1.0 s,0.01,550 ms,3.2 s,2.1 s,68,100,95,100,0.4 s,0.7 s,0.001,550 ms,3.2 s,2.1 s,01/23/2024
https://www.theplantconcierge.com/landscaping/landscaping-companies/,96,100,95,100,0.8 s,0.9 s,0.002,210 ms,2.7 s,1.7 s,67,100,95,100,0.4 s,0.6 s,0.001,210 ms,2.7 s,1.7 s,01/23/2024
https://www.theplantconcierge.com/landscaping/backyard-pool-designs/,92,100,95,100,1.1 s,1.1 s,0.033,340 ms,2.8 s,2.2 s,67,100,95,100,0.6 s,0.6 s,0.001,340 ms,2.8 s,2.2 s,01/23/2024
https://www.theplantconcierge.com/landscaping/landscaping-trends/,100,100,95,100,0.8 s,0.9 s,0.002,20 ms,2.5 s,1.6 s,68,100,95,100,0.4 s,0.6 s,0.004,20 ms,2.5 s,1.6 s,01/23/2024
https://www.theplantconcierge.com/landscaping/lakewood-landscape/,78,100,95,100,2.4 s,2.4 s,0.068,550 ms,4.0 s,3.9 s,72,100,95,100,0.6 s,0.7 s,0.002,550 ms,4.0 s,3.9 s,01/23/2024
https://www.theplantconcierge.com/landscape-lighting/tips-for-landscape-lighting/,79,100,95,100,0.8 s,0.8 s,0.002,900 ms,3.5 s,1.9 s,69,100,95,100,0.4 s,0.5 s,0.026,900 ms,3.5 s,1.9 s,01/23/2024
https://www.theplantconcierge.com/outdoor-kitchen/outdoor-kitchen-designs/,85,100,95,100,0.9 s,0.9 s,0.002,590 ms,3.0 s,1.9 s,67,100,95,100,0.3 s,0.6 s,0.004,590 ms,3.0 s,1.9 s,01/23/2024
https://www.theplantconcierge.com/landscape-lighting/landscape-lighting-ideas/,79,100,95,100,0.8 s,0.8 s,0.028,910 ms,3.4 s,1.9 s,70,100,95,100,0.4 s,0.7 s,0.001,910 ms,3.4 s,1.9 s,01/23/2024
https://www.theplantconcierge.com/landscaping/plant-walls/,81,100,95,100,0.8 s,0.9 s,0.002,780 ms,3.4 s,1.9 s,68,100,95,100,0.4 s,0.6 s,0.001,780 ms,3.4 s,1.9 s,01/23/2024
https://www.theplantconcierge.com/organic-landscape/organic-landscaping/,70,100,95,100,0.8 s,2.6 s,0.138,950 ms,3.4 s,2.6 s,67,100,95,100,0.4 s,0.6 s,0.001,950 ms,3.4 s,2.6 s,01/23/2024
https://www.theplantconcierge.com/landscaping/flower-mound-landscaping/,80,100,95,100,0.9 s,0.9 s,0.042,850 ms,3.4 s,2.3 s,68,100,95,100,0.4 s,0.5 s,0.011,850 ms,3.4 s,2.3 s,01/23/2024
https://www.theplantconcierge.com/dallas-lawn-care/professional-tree-service/,84,100,95,100,1.0 s,1.0 s,0.063,580 ms,3.3 s,2.2 s,72,100,95,100,0.4 s,0.5 s,0.001,580 ms,3.3 s,2.2 s,01/23/2024
https://www.theplantconcierge.com/dallas-lawn-care/common-lawn-weeds/,79,100,95,100,0.8 s,0.9 s,0.03,910 ms,3.6 s,2.2 s,72,100,95,100,0.5 s,0.6 s,0.025,910 ms,3.6 s,2.2 s,01/23/2024
