"Url Tested","Mobile Performance","Mobile Accessibility","Mobile Best Practices","Mobile Seo","M FCP","M LCP","M CLS","M TBT","M TTI","M SI","Desktop Performance","Desktop Accessibility","Desktop Best Practices","Desktop Seo","D FCP","D LCP","D CLS","D TBT","D TTI","D SI","Date & Time"
https://www.theplantconcierge.com/blog/,100,100,100,100,1.2 s,1.5 s,0,0 ms,1.2 s,1.2 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,1.2 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/,100,100,100,100,1.2 s,1.5 s,0,0 ms,1.2 s,1.2 s,92,100,100,100,1.2 s,1.5 s,0,0 ms,1.2 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/services/living-plant-walls-in-dallas/,100,100,100,100,1.2 s,1.4 s,0,0 ms,1.2 s,1.2 s,94,100,100,100,1.0 s,1.4 s,0,0 ms,1.2 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/our-work/modern-mediterranean/,100,100,100,100,1.3 s,1.6 s,0,0 ms,1.3 s,1.3 s,93,100,100,100,1.1 s,1.4 s,0,0 ms,1.3 s,1.3 s,08/29/2023
https://www.theplantconcierge.com/our-work/modern-ranch/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,1.1 s,1.1 s,08/29/2023
https://www.theplantconcierge.com/our-work/modern-southlake-backyard/,99,100,100,100,1.2 s,1.5 s,0,110 ms,1.4 s,1.3 s,92,100,100,100,1.2 s,1.5 s,0,110 ms,1.4 s,1.3 s,08/29/2023
https://www.theplantconcierge.com/residential-lawn/,100,100,100,100,1.0 s,1.3 s,0,0 ms,1.0 s,1.0 s,96,100,100,100,0.9 s,1.2 s,0.001,0 ms,1.0 s,1.0 s,08/29/2023
https://www.theplantconcierge.com/colorful-impressions/,100,100,100,100,1.3 s,1.5 s,0,80 ms,1.4 s,1.3 s,91,100,100,100,1.1 s,1.6 s,0,80 ms,1.4 s,1.3 s,08/29/2023
https://www.theplantconcierge.com/request-a-free-quote/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,96,100,100,100,1.0 s,1.2 s,0,0 ms,1.1 s,1.1 s,08/29/2023
https://www.theplantconcierge.com/our-work/,100,100,100,99,1.3 s,1.6 s,0,0 ms,1.3 s,1.3 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,1.3 s,1.3 s,08/29/2023
https://www.theplantconcierge.com/our-mission/one-contractors-journey-toward-a-stronger-team/,100,100,100,100,1.2 s,1.3 s,0,0 ms,1.2 s,1.2 s,96,100,100,100,0.9 s,1.2 s,0.001,0 ms,1.2 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/our-mission/total-transparency-establishing-a-culture-of-trust-and-respect/,100,100,100,100,1.0 s,1.3 s,0,10 ms,1.1 s,1.1 s,95,100,100,100,1.0 s,1.3 s,0,10 ms,1.1 s,1.1 s,08/29/2023
https://www.theplantconcierge.com/our-mission/dallas-landscaping-service/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,96,100,100,100,1.0 s,1.2 s,0,0 ms,1.1 s,1.1 s,08/29/2023
https://www.theplantconcierge.com/our-mission/united-to-learn/,100,100,100,100,1.0 s,1.3 s,0,0 ms,1.0 s,1.2 s,97,100,100,100,0.9 s,1.2 s,0,0 ms,1.0 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/areas-we-served/,100,100,100,100,0.9 s,1.2 s,0,20 ms,1.0 s,0.9 s,94,100,100,100,1.1 s,1.3 s,0,20 ms,1.0 s,0.9 s,08/29/2023
https://www.theplantconcierge.com/our-work/landscaping-services-in-highland-park-tx/,91,100,100,100,2.7 s,2.9 s,0,0 ms,2.7 s,2.7 s,97,100,100,100,0.9 s,1.2 s,0,0 ms,2.7 s,2.7 s,08/29/2023
https://www.theplantconcierge.com/our-work/landscaping-services-in-highland-park-tx/highland-park-tudor/,100,100,100,98,0.9 s,1.2 s,0,0 ms,0.9 s,0.9 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,0.9 s,0.9 s,08/29/2023
https://www.theplantconcierge.com/services/,100,100,100,100,1.0 s,1.3 s,0,0 ms,1.1 s,1.0 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,1.1 s,1.0 s,08/29/2023
https://www.theplantconcierge.com/services/dallas-drainage/,100,100,100,100,1.0 s,1.3 s,0,0 ms,1.0 s,1.0 s,94,100,100,100,1.1 s,1.3 s,0.004,0 ms,1.0 s,1.0 s,08/29/2023
https://www.theplantconcierge.com/services/outdoor-kitchens-dallas/,100,100,100,100,1.3 s,1.5 s,0,0 ms,1.3 s,1.3 s,95,100,100,100,1.0 s,1.3 s,0,0 ms,1.3 s,1.3 s,08/29/2023
https://www.theplantconcierge.com/services/artificial-turf-dallas/,100,100,100,100,1.2 s,1.5 s,0,0 ms,1.2 s,1.2 s,93,100,100,100,1.1 s,1.3 s,0,0 ms,1.2 s,1.2 s,08/29/2023
https://www.theplantconcierge.com/services/dallas-landscape-lighting/,100,100,100,100,1.1 s,1.3 s,0,0 ms,1.1 s,1.1 s,95,100,100,100,1.0 s,1.2 s,0.003,0 ms,1.1 s,1.1 s,08/29/2023
